lc_small_channel_name,主锁单标记,md5_辅助锁单,Total Contribution,Assist Ratio,Role Assessment
直播基地-嘉鹿,31,68,99,0.6868686868686869,Balanced Contributor
微信服务号-,15,73,88,0.8295454545454546,Strong Assister (Assisted Lock dominant)
抖音小程序,22,65,87,0.7471264367816092,Strong Assister (Assisted Lock dominant)
直播基地-蓝思,35,52,87,0.5977011494252874,Balanced Contributor
友享,0,84,84,1.0,Strong Assister (Assisted Lock dominant)
达人获客-潮驱,30,54,84,0.6428571428571429,Balanced Contributor
品牌投放-58汽车,65,18,83,0.21686746987951808,Strong Closer (Direct Lock dominant)
经销商保客,29,44,73,0.6027397260273972,Balanced Contributor
品牌投放-汽车之家,18,55,73,0.7534246575342466,Strong Assister (Assisted Lock dominant)
品牌投放-易车,47,22,69,0.3188405797101449,Balanced Contributor
微信公众号,31,37,68,0.5441176470588235,Balanced Contributor
小红书圈层活动,9,52,61,0.8524590163934426,Strong Assister (Assisted Lock dominant)
朋友圈投放（区域）,34,21,55,0.38181818181818183,Balanced Contributor
汽车金融平台,4,48,52,0.9230769230769231,Strong Assister (Assisted Lock dominant)
百度-搜索SEM竞价,32,13,45,0.28888888888888886,Strong Closer (Direct Lock dominant)
巨懂车,23,21,44,0.4772727272727273,Balanced Contributor
大模型线索挖掘,24,19,43,0.4418604651162791,Balanced Contributor
户外电梯广告,9,25,34,0.7352941176470589,Strong Assister (Assisted Lock dominant)
视频号-达人矩阵,24,10,34,0.29411764705882354,Strong Closer (Direct Lock dominant)
B站官号,11,21,32,0.65625,Balanced Contributor
三垂投放（区域）,7,22,29,0.7586206896551724,Strong Assister (Assisted Lock dominant)
智己福利社,9,20,29,0.6896551724137931,Balanced Contributor
高意向线索,9,20,29,0.6896551724137931,Balanced Contributor
抖音达人运营,10,18,28,0.6428571428571429,Balanced Contributor
头条-号外,11,13,24,0.5416666666666666,Balanced Contributor
AIGC名片,4,15,19,0.7894736842105263,Strong Assister (Assisted Lock dominant)
抖音引流短视频,2,17,19,0.8947368421052632,Strong Assister (Assisted Lock dominant)
新媒体-快手,1,13,14,0.9285714285714286,Strong Assister (Assisted Lock dominant)
抖音达人直播,2,11,13,0.8461538461538461,Strong Assister (Assisted Lock dominant)
抖音本地生活服务,8,5,13,0.38461538461538464,Balanced Contributor
汽车之家-效果,0,13,13,1.0,Strong Assister (Assisted Lock dominant)
户外媒体,0,13,13,1.0,Strong Assister (Assisted Lock dominant)
企微投放（门店）,2,8,10,0.8,Strong Assister (Assisted Lock dominant)
抖音来客电商,5,4,9,0.4444444444444444,Balanced Contributor
品牌-微信视频号,4,5,9,0.5555555555555556,Balanced Contributor
B站-直播,3,5,8,0.625,Balanced Contributor
试驾会（门店）,6,2,8,0.25,Strong Closer (Direct Lock dominant)
品牌投放-头条,2,6,8,0.75,Strong Assister (Assisted Lock dominant)
快手直播,3,4,7,0.5714285714285714,Balanced Contributor
B站达人视频,3,4,7,0.5714285714285714,Balanced Contributor
品牌投放-微博,3,3,6,0.5,Balanced Contributor
懂车帝-效果联盟,1,4,5,0.8,Strong Assister (Assisted Lock dominant)
其他活动（门店）,1,3,4,0.75,Strong Assister (Assisted Lock dominant)
字节效果-盘龙留资,2,1,3,0.3333333333333333,Balanced Contributor
集团客户,2,1,3,0.3333333333333333,Balanced Contributor
小红书-效果,2,0,2,0.0,Strong Closer (Direct Lock dominant)
B站效果投放,2,0,2,0.0,Strong Closer (Direct Lock dominant)
官网留资,0,1,1,1.0,Strong Assister (Assisted Lock dominant)
上财（门店）,0,1,1,1.0,Strong Assister (Assisted Lock dominant)
字节效果-星声场留资,1,0,1,0.0,Strong Closer (Direct Lock dominant)
微信小程序,0,1,1,1.0,Strong Assister (Assisted Lock dominant)
内部员工,0,1,1,1.0,Strong Assister (Assisted Lock dominant)
抖音小程序-试乘试驾,0,1,1,1.0,Strong Assister (Assisted Lock dominant)
视频号-智己汽车官方直播间,0,0,0,0.0,No Contribution
喜马拉雅效果-测试,0,0,0,0.0,No Contribution
品牌投放-百度地图,0,0,0,0.0,No Contribution
快手-矩阵,0,0,0,0.0,No Contribution
品牌投放-百度品专,0,0,0,0.0,No Contribution
抖音-种草通竞价,0,0,0,0.0,No Contribution
CSOP活动,0,0,0,0.0,No Contribution
服务行业,0,0,0,0.0,No Contribution
抖音-内容热推,0,0,0,0.0,No Contribution
Popup,0,0,0,0.0,No Contribution
产销协调专用,0,0,0,0.0,No Contribution
品牌投放-哔哩哔哩,0,0,0,0.0,No Contribution
三方线索挖掘,0,0,0,0.0,No Contribution
上汽保险,0,0,0,0.0,No Contribution
上财,0,0,0,0.0,No Contribution
品牌投放-BFS线索补量,0,0,0,0.0,No Contribution
懂车帝置换,0,0,0,0.0,No Contribution
矩阵号直播,0,0,0,0.0,No Contribution
产品专家,0,0,0,0.0,No Contribution
头条小程序,0,0,0,0.0,No Contribution
团购-智己官方直播间,0,0,0,0.0,No Contribution
