lc_small_channel_name,400留资,AIGC名片,APP,APP-试乘试驾,APP-预约上门试驾,APP报名,APP留资,APP行为激活,B站官号,B站效果应用推广,B站效果投放,B站达人视频,CSOP活动,CSOP活动（门店）,JD汽车,LS6-66度客户激活,Popup,Popup（门店）,三垂投放（区域）,上财（门店）,企微投放（门店）,信息流-短视频,其他历史线索,其他活动（门店）,内部员工,历史数据,历史数据1,历史线索,友享,品牌-微信视频号,品牌投放-58汽车,品牌投放-太平洋汽车,品牌投放-头条,品牌投放-微信搜一搜,品牌投放-微博,品牌投放-懂车帝,品牌投放-抖音,品牌投放-易车,品牌投放-汽车之家,品牌投放-爱卡汽车,品牌投放-百度品专,品牌投放-百度地图,品牌投放-百度购车宝,商圈主动拓客,地推,地推（门店）,大模型线索挖掘,头条-号外,字节APP,字节效果-星声场搜索,字节效果-星声场留资,字节效果-盘龙留资,字节效果-群邑留资,字节效果-聚胜搜索,字节效果-聚胜留资,官网-试乘试驾,小程序留资,小红书-效果,小红书-矩阵,小红书圈层活动,小红书私信,巨懂车,异地线索,微信公众号,微信小程序,微信小程序-试乘试驾,微信服务号-,心愿单,总部孵化,总部孵化线索,意向金,懂车帝,懂车帝-效果联盟,懂车帝卖车通,懂车帝卖车通-400,懂车帝增效,懂车帝生服,战败激活,户外电梯广告,抖音,抖音-内容热推,抖音-矩阵,抖音SCRM,抖音小程序,抖音小程序-试乘试驾,抖音引流短视频,抖音本地生活服务,抖音来客电商,抖音达人运营,新媒体-小红书,新媒体-快手,新媒体-抖音,新媒体-视频号,旅游行业,易车,易车-效果,易车-达播,易车伙伴400,易车伙伴网单,智己生活家,智己福利社,朋友圈投放（区域）,汽车之家,汽车之家-效果,汽车之家车商汇,汽车之家车商汇400,汽车金融平台,活动自然参与,活动邀约用户,用户裂变,百度-搜索SEM竞价,直接大定,直播业务(Group),私人管家,经销商保客,老带新活动,腾讯-朋友圈广告,腾讯ADQ-新意,腾讯ADQ-有车,腾讯ADQ-海南明舟,腾讯ADQ-盘龙,腾讯ADQ-盟聚,腾讯ADQ-省广,腾讯ADQ-聚胜,腾讯ADQ-蔚蓝,腾讯效果-盟聚,自然客流,视频号-达人矩阵,试驾会（门店）,车主活动推荐,车展,车展（门店）,达人获客-潮驱,邀请落地页-试乘试驾,门店战败激活,集团客户,高意向线索
Popup（门店）,3,1,43,30,0,1,17,15,1,0,0,0,0,0,4,4,0,0,0,0,0,1,14,0,3,0,1,2,0,0,0,0,1,2,0,0,2,0,1,1,0,0,13,3,0,40,0,0,6,1,2,1,0,0,0,0,18,0,7,1,5,0,1,0,2,22,3,34,5,2,109,43,2,46,8,0,0,27,0,0,0,76,0,3,0,0,0,0,0,29,0,152,2,0,25,2,0,13,47,1,0,2,25,0,24,7,0,72,1,28,0,94,49,0,0,0,0,2,0,2,2,0,1,5,0,0,846,0,5,19,2,56,0,3,22,0,0
三垂投放（区域）,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
上财（门店）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
企微投放（门店）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
信息流-短视频,0,0,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,4,1,0,10,5,1,3,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,0,0,0,2,1,3,0,0,3,0,1,0,8,15,0,0,0,0,2,0,0,0,0,0,1,0,0,49,0,2,2,1,4,1,0,1,0,0
其他活动（门店）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
内部员工,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
友享,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,2,5,0,13,2,0,0,2,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,3,0,0
品牌-微信视频号,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
品牌投放-58汽车,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
品牌投放-头条,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
品牌投放-微信搜一搜,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,7,0,0,0,1,0,0,0,0,5,0,3,3,0,18,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,2,0,4,0,0,3,0,0,1,2,1,0,0,2,0,2,0,0,2,0,1,0,8,1,0,0,0,0,2,0,0,0,0,0,1,0,0,63,0,0,0,0,2,0,0,1,0,0
品牌投放-微博,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
品牌投放-懂车帝,0,0,2,3,0,0,5,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,2,6,0,10,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,17,0,0,4,0,1,1,4,0,0,1,2,0,2,0,0,4,0,6,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,4,0,4,0,0,1,0,0
品牌投放-抖音,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,0,0,3,2,0,3,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,2,0,1,1,6,5,0,0,0,0,0,0,0,0,0,0,1,0,0,32,0,0,1,0,1,1,0,0,0,0
品牌投放-易车,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
品牌投放-汽车之家,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,0,1,0,6,0,0,1,0,1,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,1,1,0,0,0,1,1,0,0
品牌投放-爱卡汽车,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0
品牌投放-百度购车宝,0,0,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,6,5,0,6,1,0,0,6,0,0,0,6,0,0,0,0,0,0,0,2,0,22,1,0,2,3,1,3,18,1,0,0,3,0,3,1,0,8,0,6,0,9,14,1,0,0,0,0,0,0,0,0,0,1,0,0,109,0,0,3,0,5,0,0,1,0,0
商圈主动拓客,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,2,0,3,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,43,0,0,0,0,2,0,0,0,0,0
地推（门店）,1,0,51,20,0,0,18,16,1,2,0,0,0,0,1,4,0,80,1,0,0,3,4,2,3,0,0,3,0,0,1,0,0,0,0,1,1,0,0,3,0,0,12,3,0,0,1,0,2,0,3,0,0,0,0,3,15,0,4,0,10,0,3,1,2,12,1,41,7,3,79,36,1,55,5,0,0,25,0,0,0,70,0,1,0,0,0,1,0,21,0,161,2,0,37,3,0,8,67,2,0,2,21,1,36,6,0,54,0,26,2,84,48,1,1,1,0,5,1,4,4,0,1,3,0,0,724,0,5,17,1,45,1,2,12,0,0
大模型线索挖掘,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
头条-号外,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
字节APP,0,0,3,24,0,0,20,9,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,18,5,2,24,10,0,4,2,0,0,12,0,0,0,7,0,0,0,0,0,0,0,3,0,49,0,0,6,0,0,2,6,0,0,0,3,0,1,1,0,7,0,4,0,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,4,1,5,0,0,1,0,0
字节效果-盘龙留资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
官网-试乘试驾,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,38,0,0,2,0,0,0,0,1,0,0
官网留资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
小程序留资,5,0,93,81,0,2,43,49,1,0,0,0,0,0,0,7,1,167,0,0,0,1,22,0,7,0,0,2,0,0,0,0,0,15,0,4,5,1,3,0,1,0,10,2,0,60,1,0,16,0,12,5,3,0,0,16,0,0,7,0,12,1,4,4,11,158,3,145,21,5,303,48,3,80,6,1,1,50,1,0,0,90,1,4,1,0,0,0,0,33,0,245,2,0,34,4,0,21,41,0,0,1,28,0,45,8,0,89,0,68,5,179,110,8,1,1,0,11,2,14,5,3,0,30,0,0,1543,0,7,27,7,67,0,3,15,0,0
小红书-矩阵,0,0,7,7,0,0,3,2,0,0,0,0,0,0,1,0,0,28,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,2,0,10,0,0,1,0,0,0,0,0,0,0,7,0,0,0,11,0,1,0,0,10,0,19,1,0,15,9,0,14,0,0,0,7,0,0,0,14,0,0,0,0,0,0,0,52,0,74,1,0,7,1,1,1,13,1,0,0,6,0,6,3,1,14,0,12,0,24,21,1,0,0,0,0,0,0,2,0,0,2,0,0,270,0,0,5,0,8,1,0,2,0,0
小红书圈层活动,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3,1,0,0,0,0,0,0,2,1,0,0,0,0,0,23,0,0,1,0,2,0,0,0,0,0
